field_name,mukey,compname,comppct_r,drainagecl
32-33,83968,Mathon,90,Well drained
31 North Wiper,83968,Mathon,90,Well drained
21-22,83956,Harston,85,Well drained
23 Dog Leg,83956,Harston,85,Well drained
24 N Hay Wheelines,83956,Harston,85,Well drained
26 Hendricks,83956,Harston,85,Well drained
27 Lynn's,83956,Harston,85,Well drained
Mickelson 1,83968,Mathon,90,Well drained
Mickelson 2,83968,Mathon,90,Well drained
Mickelson 3,83968,Mathon,90,Well drained
Mickelson 4,83968,Mathon,90,Well drained
Mickelson 5,83968,Mathon,90,Well drained
Mickelson 6,83968,Mathon,90,Well drained
175 Cornelison NE,83829,Terreton,75,Well drained
175 Cornelison NE,83829,Levelton,5,Poorly drained
176  Cornelison SE,83921,Matheson,80,Well drained
177 Cornelison SW,83828,Terreton,80,Well drained
177 Cornelison SW,83828,Levelton,5,Poorly drained
174 Hunter,83917,Matheson,85,Well drained
173 Rawhide,83899,Levelton,80,Poorly drained
173 Rawhide,83899,Levelton,5,Poorly drained
173 Rawhide,83899,Levelton,5,Poorly drained
171 Dalling NL North,83917,Matheson,85,Well drained
172 Dalling NL South,83917,Matheson,85,Well drained
145 Grohs 11 Tower,83901,Levelton,85,Poorly drained
146 Grohs West Middle,83904,Levelton,80,Poorly drained
146 Grohs West Middle,83904,Levelton,5,Poorly drained
146 Grohs West Middle,83904,Levelton,5,Poorly drained
147 Grohs NW,83900,Levelton,70,Poorly drained
147 Grohs NW,83900,Aquepts,5,
147 Grohs NW,83900,Levelton,5,Poorly drained
148 Grohs S Middle,83901,Levelton,85,Poorly drained
149 Grohs N Middle,83902,Levelton,85,Poorly drained
149 Grohs N Middle,83902,Levelton,5,Poorly drained
149 Grohs N Middle,83902,Levelton,5,Poorly drained
150 Grohs E Wiper,83902,Levelton,85,Poorly drained
150 Grohs E Wiper,83902,Levelton,5,Poorly drained
150 Grohs E Wiper,83902,Levelton,5,Poorly drained
151 Jernberg North,83919,Matheson,90,Well drained
152 Jernberg Northeast,83919,Matheson,90,Well drained
154 Jernberg NE Small,83908,Lidy,90,Well drained
156 Jernberg Wiper,83908,Lidy,90,Well drained
157 Jernberg SE,83908,Lidy,90,Well drained
153 Jernberg Northwest,83908,Lidy,90,Well drained
155 Jernberg hand/wheel,83920,Matheson,75,Well drained
151-a Jernberg North,83913,Malm,45,Well drained
151-a Jernberg North,83913,Rock outcrop,30,
151-a Jernberg North,83913,Bondfarm,15,Well drained
148 A,83904,Levelton,80,Poorly drained
148 A,83904,Levelton,5,Poorly drained
148 A,83904,Levelton,5,Poorly drained
162 Hirschman,83851,Zwiefel,90,Well drained
166 Kesler North,83829,Terreton,75,Well drained
166 Kesler North,83829,Levelton,5,Poorly drained
167 Kesler Middle,83828,Terreton,80,Well drained
167 Kesler Middle,83828,Levelton,5,Poorly drained
168 Kesler South,83828,Terreton,80,Well drained
168 Kesler South,83828,Levelton,5,Poorly drained
169 Kesler West and Corners,83828,Terreton,80,Well drained
169 Kesler West and Corners,83828,Levelton,5,Poorly drained
161 Marty E,83828,Terreton,80,Well drained
161 Marty E,83828,Levelton,5,Poorly drained
134 Kesler Highway,83833,Terreton,85,Well drained
Kesler Hwy corner NW,83829,Terreton,75,Well drained
Kesler Hwy corner NW,83829,Levelton,5,Poorly drained
Kesler HWY Corner SW,83828,Terreton,80,Well drained
Kesler HWY Corner SW,83828,Levelton,5,Poorly drained
Kesler Hwy Corner SE,83833,Terreton,85,Well drained
Kesler HWY Corner NE,83828,Terreton,80,Well drained
Kesler HWY Corner NE,83828,Levelton,5,Poorly drained
142 Petersen Big,83833,Terreton,85,Well drained
143 Petersen Mini,83833,Terreton,85,Well drained
69 1/2,83973,Panmod,80,Well drained
161 Marty W,83834,Terreton,85,Well drained
161 Marty W,83834,Levelton,5,Poorly drained
Shively #11,83828,Terreton,80,Well drained
Shively #11,83828,Levelton,5,Poorly drained
Murdock,83828,Terreton,80,Well drained
Murdock,83828,Levelton,5,Poorly drained
Shively #12,83850,Zwiefel,90,Well drained
Savage,83833,Terreton,85,Well drained
Egan 58,83941,Montlid,90,Moderately well drained
Ward 123,83922,Matheson,85,Well drained
Ward 120,83922,Matheson,85,Well drained
