mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,32-33
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,31 North Wiper
83956,"Harston coarse sandy loam, 0 to 2 percent slopes",Harston,85,Well drained,0.0,71.0,0.75,8.2,0.12,11.5,65.2,23.3,1.35,10.5,21-22
83956,"Harston coarse sandy loam, 0 to 2 percent slopes",Harston,85,Well drained,0.0,71.0,0.75,8.2,0.12,11.5,65.2,23.3,1.35,10.5,23 Dog Leg
83956,"Harston coarse sandy loam, 0 to 2 percent slopes",Harston,85,Well drained,0.0,71.0,0.75,8.2,0.12,11.5,65.2,23.3,1.35,10.5,24 N Hay Wheelines
83956,"Harston coarse sandy loam, 0 to 2 percent slopes",Harston,85,Well drained,0.0,71.0,0.75,8.2,0.12,11.5,65.2,23.3,1.35,10.5,26 Hendricks
83956,"Harston coarse sandy loam, 0 to 2 percent slopes",Harston,85,Well drained,0.0,71.0,0.75,8.2,0.12,11.5,65.2,23.3,1.35,10.5,27 Lynn's
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,Mickelson 1
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,Mickelson 2
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,Mickelson 3
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,Mickelson 4
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,Mickelson 5
83968,"Mathon sandy loam, 0 to 6 percent slopes",Mathon,90,Well drained,0.0,13.0,0.75,7.9,0.12,11.5,65.2,23.3,1.35,11.0,Mickelson 6
83829,Terreton sandy loam,Terreton,75,Well drained,0.0,15.0,2.0,8.2,0.12,12.5,67.9,19.6,1.45,27.5,175 Cornelison NE
83921,"Matheson sandy loam, 1 to 6 percent slopes",Matheson,80,Well drained,0.0,25.0,0.75,7.9,0.12,10.0,66.6,23.4,1.3,7.5,176  Cornelison SE
83828,Terreton loamy sand,Terreton,80,Well drained,0.0,15.0,1.5,8.2,0.08,7.5,83.5,9.0,1.6,27.5,177 Cornelison SW
83917,"Matheson loamy sand, 2 to 8 percent slopes",Matheson,85,Well drained,0.0,25.0,0.75,7.9,0.07,7.5,83.5,9.0,1.3,7.5,174 Hunter
83899,Levelton loamy sand,Levelton,80,Poorly drained,0.0,5.0,75.0,5.0,0.45,15.0,35.0,50.0,0.2,,173 Rawhide
83917,"Matheson loamy sand, 2 to 8 percent slopes",Matheson,85,Well drained,0.0,25.0,0.75,7.9,0.07,7.5,83.5,9.0,1.3,7.5,171 Dalling NL North
83917,"Matheson loamy sand, 2 to 8 percent slopes",Matheson,85,Well drained,0.0,25.0,0.75,7.9,0.07,7.5,83.5,9.0,1.3,7.5,172 Dalling NL South
83901,"Levelton loam, drained, moderately saline-alkali",Levelton,85,Poorly drained,0.0,5.0,75.0,5.0,0.45,15.0,35.0,50.0,0.2,,145 Grohs 11 Tower
83904,"Levelton silty clay loam, drained, moderately saline-alkali",Levelton,80,Poorly drained,0.0,5.0,75.0,5.0,0.45,15.0,35.0,50.0,0.2,,146 Grohs West Middle
83900,Levelton loam,Levelton,70,Poorly drained,0.0,5.0,75.0,5.0,0.45,15.0,35.0,50.0,0.2,,147 Grohs NW
83901,"Levelton loam, drained, moderately saline-alkali",Levelton,85,Poorly drained,0.0,5.0,75.0,5.0,0.45,15.0,35.0,50.0,0.2,,148 Grohs S Middle
83902,Levelton clay loam,Levelton,85,Poorly drained,0.0,5.0,75.0,5.0,0.45,15.0,35.0,50.0,0.2,,149 Grohs N Middle
