field_id,mean_ndvi,min_ndvi,max_ndvi,std_ndvi,median_ndvi,pixel_count,scene_date,source
OSM_1428284928,0.78,0.38,0.95,0.15,0.8,1713,2024-06-18,Sentinel-2A
OSM_998713335,0.72,0.42,0.94,0.13999999999999999,0.7000000000000001,1787,2024-06-18,Sentinel-2A
OSM_998706549,0.77,0.37,0.84,0.13999999999999999,0.81,1832,2024-06-18,Sentinel-2A
OSM_998713346,0.8400000000000001,0.43999999999999995,0.86,0.16,0.68,1759,2024-06-18,Sentinel-2A
OSM_998706547,0.8200000000000001,0.42,0.8899999999999999,0.13999999999999999,0.68,1937,2024-06-18,Sentinel-2A
OSM_998706550,0.68,0.38,0.85,0.15,0.76,1683,2024-06-18,Sentinel-2A
OSM_1434730614,0.78,0.38,0.85,0.15,0.8200000000000001,1593,2024-06-18,Sentinel-2A
OSM_998713337,0.8,0.39999999999999997,0.87,0.12,0.7200000000000001,1815,2024-06-18,Sentinel-2A
OSM_1434730620,0.75,0.35,0.9199999999999999,0.12,0.77,1930,2024-06-18,Sentinel-2A
OSM_998701371,0.8,0.39999999999999997,0.82,0.12,0.8200000000000001,1775,2024-06-18,Sentinel-2A
