field_id,year,crop_code,crop_name,pixel_count,pct
osm-1177630014,2021,1,Corn,122,17.86
osm-1177630014,2021,24,Winter Wheat,8,1.17
osm-1177630014,2021,176,Grass/Pasture,4,0.59
osm-1423190763,2021,176,Grass/Pasture,193,78.14
osm-1423190763,2021,5,Soybeans,29,11.74
osm-1469813297,2021,24,Winter Wheat,14,46.67
osm-1469813297,2021,176,Grass/Pasture,4,13.33
osm-1469813297,2021,36,Forest,1,3.33
osm-1476586502,2021,24,Winter Wheat,788,99.49
osm-1476586502,2021,5,Soybeans,1,0.13
osm-1476586502,2021,176,Grass/Pasture,1,0.13
osm-637503855,2021,24,Winter Wheat,383,64.26
osm-637503855,2021,5,Soybeans,64,10.74
osm-637503855,2021,1,Corn,1,0.17
osm-637503855,2021,28,Alfalfa,1,0.17
