field_id,year,crop_code,crop_name,pixel_count,pct
osm-1177630014,2024,1,Corn,649,95.02
osm-1177630014,2024,176,Grass/Pasture,34,4.98
osm-1423190763,2024,176,Grass/Pasture,210,85.02
osm-1423190763,2024,24,Winter Wheat,29,11.74
osm-1469813297,2024,5,Soybeans,21,70.0
osm-1469813297,2024,176,Grass/Pasture,8,26.67
osm-1476586502,2024,176,Grass/Pasture,42,5.3
osm-1476586502,2024,5,Soybeans,30,3.79
osm-637503855,2024,5,Soybeans,242,40.6
osm-637503855,2024,24,Winter Wheat,223,37.42
osm-637503855,2024,176,Grass/Pasture,86,14.43
osm-1177630014,2023,176,Grass/Pasture,5,0.73
osm-1177630014,2023,24,Winter Wheat,3,0.44
osm-1177630014,2023,5,Soybeans,1,0.15
osm-1423190763,2023,176,Grass/Pasture,191,77.33
osm-1423190763,2023,5,Soybeans,29,11.74
osm-1469813297,2023,176,Grass/Pasture,4,13.33
osm-1469813297,2023,36,Forest,1,3.33
osm-1476586502,2023,24,Winter Wheat,84,10.61
osm-1476586502,2023,5,Soybeans,12,1.52
osm-1476586502,2023,36,Forest,1,0.13
osm-637503855,2023,24,Winter Wheat,500,83.89
osm-637503855,2023,5,Soybeans,9,1.51
osm-1177630014,2022,1,Corn,545,79.8
osm-1177630014,2022,24,Winter Wheat,128,18.74
osm-1177630014,2022,176,Grass/Pasture,4,0.59
osm-1177630014,2022,5,Soybeans,1,0.15
osm-1423190763,2022,176,Grass/Pasture,185,74.9
osm-1423190763,2022,24,Winter Wheat,3,1.21
osm-1469813297,2022,5,Soybeans,25,83.33
osm-1469813297,2022,176,Grass/Pasture,3,10.0
osm-1469813297,2022,36,Forest,1,3.33
osm-1476586502,2022,24,Winter Wheat,784,98.99
osm-1476586502,2022,5,Soybeans,4,0.51
osm-1476586502,2022,36,Forest,1,0.13
osm-637503855,2022,24,Winter Wheat,389,65.27
osm-637503855,2022,5,Soybeans,123,20.64
osm-637503855,2022,1,Corn,2,0.34
osm-637503855,2022,176,Grass/Pasture,1,0.17
osm-1177630014,2021,1,Corn,122,17.86
osm-1177630014,2021,24,Winter Wheat,8,1.17
osm-1177630014,2021,176,Grass/Pasture,4,0.59
osm-1423190763,2021,176,Grass/Pasture,193,78.14
osm-1423190763,2021,5,Soybeans,29,11.74
osm-1469813297,2021,24,Winter Wheat,14,46.67
osm-1469813297,2021,176,Grass/Pasture,4,13.33
osm-1469813297,2021,36,Forest,1,3.33
osm-1476586502,2021,24,Winter Wheat,788,99.49
osm-1476586502,2021,5,Soybeans,1,0.13
osm-1476586502,2021,176,Grass/Pasture,1,0.13
osm-637503855,2021,24,Winter Wheat,383,64.26
osm-637503855,2021,5,Soybeans,64,10.74
osm-637503855,2021,1,Corn,1,0.17
osm-637503855,2021,28,Alfalfa,1,0.17
osm-1177630014,2020,1,Corn,546,79.94
osm-1177630014,2020,5,Soybeans,106,15.52
osm-1177630014,2020,24,Winter Wheat,4,0.59
osm-1177630014,2020,176,Grass/Pasture,2,0.29
osm-1177630014,2020,28,Alfalfa,1,0.15
osm-1423190763,2020,176,Grass/Pasture,195,78.95
osm-1423190763,2020,5,Soybeans,26,10.53
osm-1423190763,2020,1,Corn,3,1.21
osm-1469813297,2020,24,Winter Wheat,26,86.67
osm-1469813297,2020,176,Grass/Pasture,4,13.33
osm-1476586502,2020,24,Winter Wheat,792,100.0
osm-637503855,2020,24,Winter Wheat,433,72.65
osm-637503855,2020,5,Soybeans,14,2.35
