field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-1177630014,1443992,Vanoss,85,Well drained,0,28,2.0,6.2,0.2,19.0,9.0,72.0,1.42,16.3
osm-1177630014,1443992,Vanoss,85,Well drained,28,49,1.0,6.2,0.2,23.0,10.0,67.0,1.34,18.6
osm-1177630014,1443993,Vanoss,85,Well drained,0,28,2.0,6.2,0.2,19.0,9.0,72.0,1.42,16.3
osm-1177630014,1443993,Vanoss,85,Well drained,28,49,1.0,6.2,0.2,23.0,10.0,67.0,1.34,18.6
osm-1177630014,1443997,Elandco,94,Well drained,0,26,2.0,6.9,0.19,22.0,20.0,58.0,1.38,11.9
osm-1177630014,1443997,Elandco,94,Well drained,26,102,2.5,6.9,0.19,22.0,20.0,58.0,1.36,11.9
osm-1177630014,1444011,Blanket,85,Well drained,0,30,2.0,7.0,0.2,21.0,22.0,57.0,1.42,17.9
osm-1177630014,1444012,Blanket,85,Well drained,0,30,2.0,7.0,0.2,21.0,22.0,57.0,1.42,17.9
osm-1423190763,1443976,Farnum,75,Well drained,0,24,2.0,6.4,0.15,16.0,42.0,42.0,1.44,13.9
osm-1423190763,1443976,Farnum,75,Well drained,24,63,1.0,6.8,0.17,23.0,46.0,31.0,1.48,18.8
osm-1423190763,1443990,Tabler,80,Moderately well drained,0,27,2.0,6.1,0.19,29.0,10.0,61.0,1.42,15.6
osm-1423190763,1443990,Tabler,80,Moderately well drained,27,71,1.5,7.3,0.16,43.0,6.0,51.0,1.4,23.0
osm-1423190763,1443996,Elandco,93,Well drained,0,26,2.0,6.9,0.19,22.0,20.0,58.0,1.36,11.9
osm-1423190763,1443996,Elandco,93,Well drained,26,102,2.5,6.9,0.19,22.0,20.0,58.0,1.36,11.9
osm-1423190763,1444011,Blanket,85,Well drained,0,30,2.0,7.0,0.2,21.0,22.0,57.0,1.42,17.9
osm-1423190763,1444019,Milan,85,Well drained,0,25,2.0,6.1,0.19,20.0,42.0,38.0,1.46,17.0
osm-1423190763,1444019,Milan,85,Well drained,25,36,1.25,6.1,0.16,27.0,35.0,38.0,1.41,21.9
osm-1469813297,1443950,Clime,80,Well drained,0,25,3.0,7.5,0.16,44.0,7.0,49.0,1.36,23.7
osm-1469813297,1443950,Clime,80,Well drained,25,48,2.0,7.9,0.11,48.0,9.0,43.0,1.34,25.7
osm-1469813297,1444023,Vernon,85,Well drained,0,20,1.0,7.0,0.14,12.0,68.0,20.0,1.4,6.5
osm-1469813297,1444023,Vernon,85,Well drained,20,33,1.0,7.9,0.15,30.0,55.0,15.0,1.5,16.0
osm-1469813297,2478810,Nalim,75,Well drained,0,25,2.0,6.4,0.21,15.0,49.0,36.0,1.58,13.2
osm-1469813297,2478810,Nalim,75,Well drained,25,37,2.0,6.1,0.16,30.0,39.0,31.0,1.56,24.6
osm-1476586502,1443959,Plevna,85,Poorly drained,0,30,2.0,7.4,0.14,13.0,60.0,27.0,1.42,11.6
osm-1476586502,1443969,Albion,60,Well drained,0,25,1.5,5.7,0.12,8.0,73.0,19.0,1.4,7.4
osm-1476586502,1443969,Albion,60,Well drained,25,41,0.8,6.5,0.12,13.0,65.0,22.0,1.5,11.2
osm-1476586502,1443969,Shellabarger,30,Well drained,0,28,1.0,5.8,0.14,10.0,68.0,22.0,1.43,8.9
osm-1476586502,1443969,Shellabarger,30,Well drained,28,84,0.3,7.0,0.16,23.0,64.0,13.0,1.53,18.0
osm-1476586502,1443979,Nalim,80,Well drained,0,25,2.0,6.4,0.21,15.0,49.0,36.0,1.58,13.2
osm-1476586502,1443979,Nalim,80,Well drained,25,37,2.0,6.1,0.16,30.0,39.0,31.0,1.56,24.6
osm-1476586502,1443986,Shellabarger,85,Well drained,0,28,1.0,5.8,0.14,10.0,68.0,22.0,1.43,8.9
osm-1476586502,1443986,Shellabarger,85,Well drained,28,84,0.3,7.0,0.16,23.0,64.0,13.0,1.53,18.0
osm-1476586502,1443987,Shellabarger,84,Well drained,0,38,1.5,5.8,0.13,12.0,68.0,20.0,1.58,11.2
osm-1476586502,1444023,Vernon,85,Well drained,0,20,1.0,7.0,0.14,12.0,68.0,20.0,1.4,6.5
osm-1476586502,1444023,Vernon,85,Well drained,20,33,1.0,7.9,0.15,30.0,55.0,15.0,1.5,16.0
osm-637503855,1443955,Wellsford,60,Well drained,0,13,0.6,7.5,0.13,37.0,25.0,38.0,1.4,19.5
osm-637503855,1443955,Wellsford,60,Well drained,13,43,0.3,8.2,0.11,47.0,19.0,34.0,1.45,24.2
osm-637503855,1443955,Rock outcrop,39,,0,200,,,,,,,,
osm-637503855,1443987,Shellabarger,84,Well drained,0,38,1.5,5.8,0.13,12.0,68.0,20.0,1.58,11.2
osm-637503855,1443989,Shellabarger,55,Well drained,0,28,1.0,5.8,0.14,10.0,68.0,22.0,1.43,8.9
osm-637503855,1443989,Shellabarger,55,Well drained,28,84,0.3,7.0,0.16,23.0,64.0,13.0,1.53,18.0
osm-637503855,1443989,Nalim,44,Well drained,0,25,2.0,6.4,0.14,10.0,65.0,25.0,1.58,9.1
osm-637503855,1443989,Nalim,44,Well drained,25,37,2.0,6.1,0.16,30.0,39.0,31.0,1.56,24.6
osm-637503855,1443992,Vanoss,85,Well drained,0,28,2.0,6.2,0.2,19.0,9.0,72.0,1.42,16.3
osm-637503855,1443992,Vanoss,85,Well drained,28,49,1.0,6.2,0.2,23.0,10.0,67.0,1.34,18.6
osm-637503855,1444012,Blanket,85,Well drained,0,30,2.0,7.0,0.2,21.0,22.0,57.0,1.42,17.9
osm-637503855,1444019,Milan,85,Well drained,0,25,2.0,6.1,0.19,20.0,42.0,38.0,1.46,17.0
osm-637503855,1444019,Milan,85,Well drained,25,36,1.25,6.1,0.16,27.0,35.0,38.0,1.41,21.9
