field_id,mukey,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r
osm-1476586502,1443959,Plevna,85,Poorly drained,0,30,2.0,7.4,0.14,13.0,60.0,27.0,1.42,11.6
osm-1476586502,1443969,Albion,60,Well drained,0,25,1.5,5.7,0.12,8.0,73.0,19.0,1.4,7.4
osm-1476586502,1443969,Albion,60,Well drained,25,41,0.8,6.5,0.12,13.0,65.0,22.0,1.5,11.2
osm-1476586502,1443969,Shellabarger,30,Well drained,0,28,1.0,5.8,0.14,10.0,68.0,22.0,1.43,8.9
osm-1476586502,1443969,Shellabarger,30,Well drained,28,84,0.3,7.0,0.16,23.0,64.0,13.0,1.53,18.0
osm-1476586502,1443979,Nalim,80,Well drained,0,25,2.0,6.4,0.21,15.0,49.0,36.0,1.58,13.2
osm-1476586502,1443979,Nalim,80,Well drained,25,37,2.0,6.1,0.16,30.0,39.0,31.0,1.56,24.6
osm-1476586502,1443986,Shellabarger,85,Well drained,0,28,1.0,5.8,0.14,10.0,68.0,22.0,1.43,8.9
osm-1476586502,1443986,Shellabarger,85,Well drained,28,84,0.3,7.0,0.16,23.0,64.0,13.0,1.53,18.0
osm-1476586502,1443987,Shellabarger,84,Well drained,0,38,1.5,5.8,0.13,12.0,68.0,20.0,1.58,11.2
osm-1476586502,1444023,Vernon,85,Well drained,0,20,1.0,7.0,0.14,12.0,68.0,20.0,1.4,6.5
osm-1476586502,1444023,Vernon,85,Well drained,20,33,1.0,7.9,0.15,30.0,55.0,15.0,1.5,16.0
