field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-01,-1.02,3.45,-2.83,5.81,4.87,77.01,6.53
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-02,-0.3,4.11,-3.23,0.25,7.0,85.27,2.16
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-03,0.54,7.37,-3.6,0.02,8.83,88.66,2.04
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-04,3.53,11.01,-1.68,0.03,11.17,72.43,4.61
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-05,3.51,10.39,-2.29,0.01,8.5,78.46,5.41
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-06,3.39,7.14,0.44,0.15,6.84,87.78,5.69
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-07,1.61,6.27,-3.85,0.03,3.04,86.18,3.86
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-08,-0.37,5.05,-3.83,0.0,4.97,77.15,2.28
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-09,-0.14,5.13,-3.69,0.01,7.78,77.39,1.52
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-10,-0.46,4.67,-3.59,0.01,9.11,79.61,2.92
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-11,0.11,7.83,-4.54,0.0,11.78,77.02,3.41
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-12,1.16,10.96,-4.5,0.0,12.23,74.82,3.57
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-13,2.7,11.69,-4.2,0.01,11.31,70.52,4.2
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-14,6.8,10.83,1.32,0.03,11.66,44.22,9.5
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-15,1.49,4.52,-1.29,0.0,5.08,51.51,10.1
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-16,0.19,7.11,-4.43,0.0,9.92,67.82,3.9
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-17,2.11,9.44,-2.55,0.0,12.61,62.91,5.62
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-18,3.29,11.46,-1.8,0.0,8.78,64.85,4.14
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-19,1.74,7.34,-2.61,0.0,8.87,64.53,3.8
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-20,3.6,11.85,-1.79,0.0,8.3,64.52,5.13
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-21,3.66,10.78,-1.25,0.0,11.03,79.77,2.55
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-22,0.73,7.19,-3.5,0.0,12.1,62.95,4.86
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-23,2.79,9.99,-4.3,0.09,5.75,77.82,6.14
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-24,4.13,6.96,1.79,1.44,3.9,83.27,4.64
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-25,0.49,2.7,-4.72,23.08,3.6,93.46,3.96
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-26,-4.2,-0.22,-6.32,0.74,4.85,86.84,4.51
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-27,-6.03,-1.51,-9.35,0.08,7.95,86.05,3.79
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-28,-2.53,3.78,-9.13,0.0,10.47,84.0,5.0
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-29,2.53,7.54,-2.76,0.01,7.82,84.68,6.99
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-30,5.57,12.52,-0.94,22.04,2.86,90.8,7.65
osm-1476586502,37.585463528093115,-97.69112559656533,2021-01-31,0.02,5.6,-4.31,0.0,9.34,78.62,6.92
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-01,1.55,9.47,-4.29,0.01,13.34,80.7,2.5
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-02,4.8,13.76,-1.62,0.01,13.72,75.83,5.14
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-03,7.06,14.89,-1.37,0.0,13.68,80.67,6.12
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-04,4.03,10.18,-1.09,0.0,14.6,63.67,8.29
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-05,3.44,11.82,-3.46,0.0,13.79,60.81,3.33
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-06,-2.37,1.63,-8.04,1.58,3.94,76.15,5.55
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-07,-4.77,-1.01,-7.76,0.23,4.52,73.84,3.86
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-08,-7.2,-4.74,-9.85,0.64,2.25,69.7,6.37
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-09,-8.83,-6.76,-12.0,0.05,3.79,70.86,5.13
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-10,-7.74,-5.18,-9.33,0.02,4.99,70.45,5.9
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-11,-8.2,-5.05,-10.78,0.0,5.82,66.03,5.79
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-12,-11.36,-8.22,-13.66,0.0,5.41,62.98,6.74
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-13,-12.72,-8.4,-15.75,0.1,11.33,59.36,6.44
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-14,-15.96,-14.83,-18.46,4.14,4.29,68.77,7.88
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-15,-19.0,-15.72,-21.29,0.59,8.07,70.03,5.76
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-16,-15.75,-9.99,-21.09,0.41,16.23,75.06,2.57
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-17,-9.2,-4.61,-12.86,0.23,15.47,79.55,1.89
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-18,-7.09,-0.25,-12.9,0.0,14.8,79.83,3.47
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-19,-4.12,2.26,-10.82,0.0,16.05,79.15,3.42
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-20,-0.73,6.89,-6.93,0.0,16.5,86.39,4.86
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-21,2.6,10.71,-1.73,0.0,16.0,75.2,6.37
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-22,5.09,15.57,-1.95,0.0,17.97,58.13,5.04
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-23,8.28,19.01,-0.38,0.0,18.4,58.64,3.79
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-24,4.75,11.16,-0.96,0.0,17.74,60.85,7.31
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-25,1.87,10.42,-3.56,0.0,11.02,68.28,3.76
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-26,2.83,11.55,-3.11,0.02,14.17,85.15,3.86
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-27,7.51,16.89,-0.4,0.28,8.36,90.8,6.43
osm-1476586502,37.585463528093115,-97.69112559656533,2021-02-28,4.3,11.12,-1.81,0.0,18.71,66.18,6.79
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-01,3.12,13.41,-4.37,0.0,17.03,63.61,3.23
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-02,5.51,15.71,-2.25,0.0,17.94,53.02,4.31
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-03,6.5,18.87,-3.08,0.0,17.05,61.61,3.99
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-04,9.83,21.28,-0.44,2.09,16.61,74.71,4.8
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-05,9.68,15.88,4.97,6.02,14.3,84.76,4.12
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-06,8.88,17.27,3.23,0.01,19.7,76.42,4.09
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-07,9.78,18.13,2.61,0.0,19.97,60.84,7.23
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-08,12.08,20.25,3.31,0.0,16.85,60.33,7.75
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-09,15.14,20.71,8.65,0.0,14.94,71.31,10.3
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-10,17.37,24.72,8.78,0.25,19.9,60.58,9.07
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-11,8.81,16.37,2.05,0.14,17.55,61.7,5.42
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-12,8.72,11.98,6.59,18.43,2.59,87.84,5.13
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-13,12.28,17.95,6.52,4.26,5.36,91.33,6.63
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-14,14.44,19.27,7.51,2.82,16.63,65.28,7.03
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-15,9.63,16.26,4.52,0.0,18.59,66.74,5.27
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-16,11.82,21.69,3.87,0.64,19.49,73.91,4.25
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-17,4.49,9.44,1.26,39.84,3.02,88.85,10.42
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-18,4.24,10.06,-0.52,0.0,13.69,73.88,7.89
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-19,6.34,14.61,-1.22,0.0,22.13,70.94,2.87
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-20,8.24,17.42,-0.81,0.0,22.46,68.73,5.46
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-21,11.68,19.63,4.91,0.0,18.34,71.78,8.36
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-22,11.09,13.96,7.88,35.59,3.25,90.38,6.64
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-23,8.94,11.78,4.78,6.94,8.31,83.39,5.72
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-24,6.97,12.65,1.81,0.09,10.75,80.24,4.04
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-25,6.75,11.88,3.51,0.01,12.59,83.0,3.38
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-26,12.07,21.31,3.49,0.15,19.89,75.68,6.54
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-27,11.49,17.37,4.89,0.0,18.98,71.46,6.01
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-28,9.14,17.76,0.16,0.0,24.25,63.88,3.55
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-29,14.83,23.29,6.08,0.0,24.52,53.88,11.41
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-30,10.0,14.79,5.21,0.0,22.36,44.13,7.94
osm-1476586502,37.585463528093115,-97.69112559656533,2021-03-31,7.35,14.68,0.82,0.0,25.04,51.68,3.66
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-01,7.72,16.3,-1.14,0.0,25.21,52.66,4.39
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-02,10.55,18.83,2.14,0.0,23.15,57.67,7.36
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-03,14.01,23.53,5.16,0.0,24.5,68.71,5.33
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-04,16.57,24.28,9.2,0.0,23.44,72.22,6.26
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-05,18.23,25.24,11.68,0.01,23.37,72.23,8.48
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-06,18.68,25.06,13.68,1.85,11.3,77.93,9.54
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-07,10.29,17.27,7.53,1.36,6.91,71.63,7.58
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-08,13.74,22.43,4.99,0.0,26.01,51.47,6.25
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-09,13.31,23.43,6.65,0.98,15.35,64.57,5.38
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-10,10.9,18.77,3.81,0.0,25.8,56.95,5.6
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-11,13.78,25.65,3.0,0.0,24.3,52.5,4.75
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-12,10.38,15.81,5.4,0.0,20.03,50.68,5.78
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-13,9.47,14.14,4.19,0.01,18.97,55.76,4.16
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-14,9.93,17.59,2.83,0.08,20.12,64.13,3.38
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-15,8.93,14.73,4.03,1.45,14.07,64.69,3.92
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-16,7.27,10.01,3.13,9.91,5.18,84.82,5.26
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-17,7.87,14.08,1.51,0.06,11.4,72.79,4.86
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-18,10.34,17.11,3.07,0.04,24.39,56.53,3.34
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-19,9.56,18.06,1.42,0.03,27.44,56.68,5.69
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-20,4.18,10.35,-0.54,1.2,24.6,59.4,5.87
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-21,5.65,11.82,-1.91,0.0,24.83,56.89,4.0
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-22,8.24,15.03,2.39,0.29,11.81,64.36,5.6
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-23,10.56,14.81,6.95,3.25,5.9,92.28,4.33
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-24,13.38,20.42,7.86,0.52,27.7,67.82,4.78
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-25,16.65,24.53,8.71,0.0,27.0,68.72,8.42
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-26,19.96,24.76,15.41,0.0,18.33,70.18,10.03
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-27,20.21,25.05,15.0,0.01,13.14,79.69,6.37
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-28,19.42,24.64,13.82,1.62,10.2,80.92,4.37
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-29,17.16,24.64,10.97,0.0,27.39,62.29,5.63
osm-1476586502,37.585463528093115,-97.69112559656533,2021-04-30,17.8,26.34,9.21,0.0,28.2,52.43,2.83
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-01,18.59,25.44,10.13,0.0,22.79,71.28,6.2
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-02,20.07,25.14,16.16,5.05,12.55,81.4,6.14
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-03,18.19,23.64,14.33,1.96,23.53,74.81,5.8
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-04,13.23,19.77,8.24,0.74,26.98,56.63,6.74
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-05,14.26,21.56,5.48,1.67,21.02,55.19,2.76
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-06,14.31,21.4,8.03,0.38,29.22,58.93,5.06
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-07,16.48,25.26,8.33,0.12,25.35,61.34,5.96
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-08,22.38,29.41,14.66,0.08,25.47,70.04,8.43
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-09,12.89,18.85,7.18,0.1,16.37,62.09,8.41
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-10,11.25,16.56,7.88,2.35,12.65,69.94,3.67
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-11,12.93,18.18,7.19,0.54,11.58,67.28,4.82
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-12,13.67,19.67,8.82,0.08,20.51,68.84,3.46
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-13,14.83,22.21,6.51,1.64,28.04,56.89,2.63
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-14,18.08,24.33,9.94,3.69,21.57,63.68,6.64
osm-1476586502,37.585463528093115,-97.69112559656533,2021-05-15,19.74,24.83,15.39,10.72,16.54,82.32,4.88
