field_id,year,crop_code,crop_name,pixel_count,pct
osm-1423087101,2024,1,Corn,361,82.05
osm-1423087101,2024,176,Grass/Pasture,62,14.09
osm-1423087101,2024,24,Winter Wheat,17,3.86
osm-1423116261,2024,176,Grass/Pasture,751,99.21
osm-1424247197,2024,176,Grass/Pasture,17973,97.54
osm-1424247197,2024,1,Corn,160,0.87
osm-666033354,2024,5,Soybeans,19,79.17
osm-666033354,2024,176,Grass/Pasture,4,16.67
osm-667302408,2024,24,Winter Wheat,36,90.0
osm-667302408,2024,176,Grass/Pasture,2,5.0
osm-1423087101,2023,24,Winter Wheat,161,36.59
osm-1423087101,2023,176,Grass/Pasture,11,2.5
osm-1423087101,2023,5,Soybeans,3,0.68
osm-1423087101,2023,36,Forest,1,0.23
osm-1423116261,2023,176,Grass/Pasture,741,97.89
osm-1423116261,2023,24,Winter Wheat,1,0.13
osm-1424247197,2023,176,Grass/Pasture,17947,97.4
osm-1424247197,2023,5,Soybeans,51,0.28
osm-1424247197,2023,1,Corn,8,0.04
osm-1424247197,2023,24,Winter Wheat,4,0.02
osm-1424247197,2023,36,Forest,3,0.02
osm-666033354,2023,1,Corn,16,66.67
osm-666033354,2023,176,Grass/Pasture,7,29.17
osm-667302408,2023,24,Winter Wheat,36,90.0
osm-1423087101,2022,24,Winter Wheat,223,50.68
osm-1423087101,2022,1,Corn,42,9.55
osm-1423087101,2022,176,Grass/Pasture,10,2.27
osm-1423087101,2022,5,Soybeans,5,1.14
osm-1423087101,2022,36,Forest,1,0.23
osm-1423116261,2022,176,Grass/Pasture,745,98.41
osm-1424247197,2022,176,Grass/Pasture,17840,96.81
osm-1424247197,2022,24,Winter Wheat,146,0.79
osm-1424247197,2022,1,Corn,8,0.04
osm-1424247197,2022,5,Soybeans,1,0.01
osm-666033354,2022,5,Soybeans,19,79.17
osm-666033354,2022,176,Grass/Pasture,5,20.83
osm-667302408,2022,5,Soybeans,36,90.0
osm-667302408,2022,176,Grass/Pasture,2,5.0
osm-1423087101,2021,24,Winter Wheat,428,97.27
osm-1423087101,2021,176,Grass/Pasture,11,2.5
osm-1423087101,2021,36,Forest,1,0.23
osm-1423116261,2021,176,Grass/Pasture,735,97.09
osm-1424247197,2021,176,Grass/Pasture,17854,96.89
osm-1424247197,2021,1,Corn,162,0.88
osm-1424247197,2021,5,Soybeans,3,0.02
osm-1424247197,2021,28,Alfalfa,1,0.01
osm-666033354,2021,1,Corn,18,75.0
osm-666033354,2021,176,Grass/Pasture,6,25.0
osm-667302408,2021,5,Soybeans,36,90.0
osm-667302408,2021,176,Grass/Pasture,2,5.0
osm-1423087101,2020,24,Winter Wheat,424,96.36
osm-1423087101,2020,176,Grass/Pasture,12,2.73
osm-1423087101,2020,5,Soybeans,3,0.68
osm-1423087101,2020,36,Forest,1,0.23
osm-1423116261,2020,176,Grass/Pasture,740,97.75
osm-1424247197,2020,176,Grass/Pasture,17829,96.75
osm-1424247197,2020,5,Soybeans,165,0.9
osm-1424247197,2020,1,Corn,4,0.02
osm-1424247197,2020,24,Winter Wheat,1,0.01
osm-666033354,2020,5,Soybeans,15,62.5
osm-666033354,2020,176,Grass/Pasture,6,25.0
osm-667302408,2020,5,Soybeans,36,90.0
osm-667302408,2020,176,Grass/Pasture,2,5.0
