field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS10M
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-01,-2.13,1.8,-3.49,8.51,4.87,80.72,6.85
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-02,-1.29,2.5,-4.25,0.44,7.0,86.91,2.21
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-03,-0.37,6.21,-4.53,0.09,8.83,90.64,2.98
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-04,2.22,8.58,-1.7,0.01,11.17,78.64,4.95
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-05,2.74,9.0,-1.97,0.01,8.5,75.88,5.25
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-06,3.45,5.98,1.23,0.92,6.84,92.58,3.48
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-07,1.38,6.56,-4.09,0.32,3.04,84.96,3.95
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-08,-0.49,4.14,-3.65,0.01,4.97,76.56,2.12
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-09,-0.94,4.58,-4.0,0.0,7.78,79.87,2.1
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-10,-1.49,3.38,-3.71,0.0,9.11,82.15,2.88
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-11,0.07,7.37,-4.27,0.0,11.78,75.96,3.83
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-12,1.21,10.79,-4.09,0.0,12.23,73.05,4.32
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-13,3.31,11.88,-3.26,0.0,11.31,67.36,5.07
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-14,6.15,9.78,1.64,0.0,11.66,43.97,10.45
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-15,0.85,2.18,-1.81,0.04,5.08,55.49,11.54
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-16,-0.43,5.13,-4.14,0.0,9.92,65.24,4.39
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-17,1.56,8.16,-2.85,0.0,12.61,66.26,5.78
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-18,2.72,10.49,-1.68,0.0,8.78,64.5,4.17
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-19,1.05,6.56,-3.05,0.0,8.87,67.78,4.01
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-20,3.02,10.76,-2.16,0.0,8.3,63.79,5.69
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-21,4.04,11.55,0.04,0.0,11.03,71.46,2.81
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-22,-0.26,5.03,-3.98,0.0,12.1,63.58,4.77
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-23,1.3,7.28,-4.63,0.17,5.75,73.84,6.16
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-24,3.43,5.51,1.3,2.15,3.9,85.65,4.59
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-25,0.03,1.52,-3.7,23.55,3.6,94.26,4.18
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-26,-4.54,-1.71,-6.77,0.77,4.85,87.49,4.56
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-27,-6.29,-2.44,-9.52,0.16,7.95,87.66,3.58
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-28,-3.24,2.68,-9.33,0.03,10.47,86.06,4.89
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-29,2.31,7.17,-2.58,0.04,7.82,85.08,7.56
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-30,5.04,11.46,-0.54,27.66,2.86,92.88,8.01
osm-667302408,37.795197646290426,-97.07905129571539,2021-01-31,-0.57,3.8,-4.5,0.06,9.34,82.02,7.52
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-01,0.1,6.74,-4.48,0.01,13.34,82.49,2.56
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-02,3.05,11.54,-2.92,0.43,13.72,77.39,5.19
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-03,6.31,14.25,-0.89,0.14,13.68,82.41,6.75
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-04,2.41,6.78,-2.93,0.01,14.6,67.6,8.32
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-05,2.15,10.4,-3.27,0.0,13.79,62.61,4.14
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-06,-3.99,-1.59,-8.74,0.46,3.94,72.01,6.33
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-07,-6.19,-2.69,-8.85,0.28,4.52,71.18,4.16
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-08,-9.38,-6.37,-11.4,0.61,2.25,73.11,5.93
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-09,-9.42,-7.15,-12.2,0.1,3.79,71.77,5.32
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-10,-8.74,-6.81,-9.89,0.06,4.99,73.09,6.05
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-11,-9.24,-6.76,-11.24,0.0,5.82,68.52,6.15
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-12,-12.91,-10.08,-15.18,0.0,5.41,66.86,7.03
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-13,-14.26,-10.17,-17.2,0.04,11.33,64.48,6.45
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-14,-16.69,-15.56,-19.32,1.7,4.29,70.12,7.82
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-15,-19.42,-16.54,-21.68,0.66,8.07,71.29,5.98
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-16,-15.61,-9.83,-21.0,0.16,16.23,72.99,2.58
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-17,-9.1,-4.56,-12.51,0.36,15.47,79.15,2.32
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-18,-7.29,-0.86,-12.27,0.0,14.8,79.93,3.6
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-19,-4.13,2.12,-11.1,0.0,16.05,78.09,3.84
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-20,-0.68,6.75,-6.84,0.0,16.5,85.11,5.34
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-21,2.36,9.39,-1.59,0.01,16.0,76.63,7.15
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-22,5.33,15.46,-1.72,0.0,17.97,56.24,5.97
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-23,8.62,19.21,-0.06,0.0,18.4,58.04,4.29
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-24,4.19,9.89,-0.34,0.0,17.74,63.67,6.93
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-25,1.45,8.63,-3.3,0.0,11.02,68.0,3.56
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-26,2.73,10.29,-3.06,0.0,14.17,86.45,4.07
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-27,7.47,16.26,0.67,0.22,8.36,88.14,6.96
osm-667302408,37.795197646290426,-97.07905129571539,2021-02-28,3.95,10.15,-2.47,0.08,18.71,70.83,6.82
osm-667302408,37.795197646290426,-97.07905129571539,2021-03-01,2.93,12.6,-4.09,0.0,17.03,64.34,3.51
osm-667302408,37.795197646290426,-97.07905129571539,2021-03-02,5.4,15.24,-2.75,0.0,17.94,56.5,4.79
