Method,Fold,Correlation,RMSE,R2
BayesA,1,0.5070635844461074,3.6771536668479037,0.2571134786713347
BayesA,2,0.5333859540598428,3.42868688869349,0.28450057598832873
BayesA,3,0.19318768225818272,4.331503129196726,0.03732148057628857
BayesA,4,0.37604181677952503,4.218476640053477,0.14140744796684587
BayesA,5,0.3579649335284296,3.6762684114161406,0.12813889363601302
BayesB,1,0.708240254954021,1.9345097326791203,0.5016042587373366
BayesB,2,0.7019521265497434,2.336285208386694,0.4927367879677069
BayesB,3,0.6698430964598131,2.2786978863523863,0.44868977387487047
BayesB,4,0.7292277464135056,2.5941148086229684,0.53177310613932
BayesB,5,0.8126235682311083,2.0061363091070112,0.6603570636446586
BayesCpi,1,0.6460913518592587,2.0725392903389115,0.41743403494732445
BayesCpi,2,0.6891017672040044,2.4578480025128333,0.47486124556368187
BayesCpi,3,0.6424364319384619,2.33385962169158,0.412724569081822
BayesCpi,4,0.7138523748557317,2.5939352217845237,0.5095852130871681
BayesCpi,5,0.7511555289964003,2.141988056928182,0.5642346287418619
GBLUP,1,0.4722211162891191,2.68276129168412,0.22299278266934175
GBLUP,2,0.4998777808286886,3.1683110936709613,0.24987779576621444
GBLUP,3,0.5751160230012663,3.0215287506620254,0.3307584399127931
GBLUP,4,0.4953603521815293,3.281795622928748,0.24538187851340873
GBLUP,5,0.49767496381177795,2.927448254195095,0.2476803696050545
