snp_a,snp_b,interaction_score,p_value_proxy
SNP003,SNP008,13.00557,2.2477713880588072e-06
SNP006,SNP008,7.08023,0.0008415783745492028
SNP008,SNP015,6.5065,0.0014936963573270244
SNP008,SNP018,6.44762,0.001584287342917233
SNP007,SNP008,6.41401,0.001638437075205969
SNP008,SNP012,6.30091,0.00183462576926199
SNP008,SNP009,6.2562,0.0019185145399178058
SNP005,SNP008,6.11647,0.0022062362395288844
SNP008,SNP013,6.08199,0.002283633830642987
SNP008,SNP011,5.78554,0.0030716567348045083
SNP003,SNP015,5.78166,0.003083605997180799
SNP003,SNP004,5.69608,0.003359116316084552
SNP004,SNP008,5.56075,0.003845896838646967
SNP003,SNP005,5.45549,0.0042727798926496755
SNP001,SNP008,5.41486,0.004449940531273217
SNP003,SNP010,5.36172,0.00469285047813789
SNP003,SNP009,5.35974,0.00470212452578944
SNP003,SNP014,5.32535,0.004866639447948443
SNP008,SNP010,5.26114,0.005189382319206175
SNP008,SNP014,5.23856,0.005307900655018857
