Marker,P_Value,Is_QTL,Bonferroni_Significant,BH_FDR_Significant,Permutation_Significant
0,0.34425778714465205,False,False,False,False
1,0.8892524000824175,False,False,False,False
2,0.6897618484440871,False,False,False,False
3,0.017860959175180824,False,False,False,False
4,0.021804777780519924,False,False,False,False
5,0.9897692333824446,False,False,False,False
6,0.25578065342499323,False,False,False,False
7,0.9312362356901018,False,False,False,False
8,0.3070519159625087,False,False,False,False
9,0.19006088660813114,False,False,False,False
10,0.49484856159015655,False,False,False,False
11,0.4104414735554467,False,False,False,False
12,0.34030064366652835,False,False,False,False
13,0.9940904697671161,False,False,False,False
14,0.8907924908785249,False,False,False,False
15,0.9219213207742897,False,False,False,False
16,0.7398946312315234,False,False,False,False
17,0.6794508332959412,False,False,False,False
18,0.5592422287009515,False,False,False,False
19,0.7452038427810108,False,False,False,False
20,0.7895582040006557,False,False,False,False
21,0.7209621638267112,False,False,False,False
22,0.9632112235493796,False,False,False,False
23,0.44603171922989115,False,False,False,False
24,0.5073239795930695,False,False,False,False
25,0.2734907162411555,False,False,False,False
26,0.06342459930333799,False,False,False,False
27,0.53721888369434,False,False,False,False
28,0.7438493931000214,False,False,False,False
29,0.5681673512913645,False,False,False,False
30,0.1906427566059925,False,False,False,False
31,0.5448500336894607,False,False,False,False
32,0.1719966783661433,False,False,False,False
33,0.7668481929079557,False,False,False,False
34,0.6981897256099134,False,False,False,False
35,0.43130433111997424,False,False,False,False
36,0.5937862269331757,False,False,False,False
37,0.8043609156129707,False,False,False,False
38,0.22234518111376567,False,False,False,False
39,0.5451786426597738,False,False,False,False
40,0.5012331895262763,False,False,False,False
41,0.7566494274166153,False,False,False,False
42,0.19780984725919692,False,False,False,False
43,0.190095771748375,False,False,False,False
44,0.796016392091595,False,False,False,False
45,0.8351257910807337,False,False,False,False
46,0.5340800109885296,False,False,False,False
47,0.965927791853937,False,False,False,False
48,0.20959644832677649,False,False,False,False
49,0.379551107074678,False,False,False,False
50,0.9166398602394554,False,False,False,False
51,0.3464786554071809,False,False,False,False
52,0.7037776945402245,False,False,False,False
53,0.9886620554100823,False,False,False,False
54,0.705601989461636,False,False,False,False
55,0.258121499649558,False,False,False,False
56,0.5969607055405535,False,False,False,False
57,0.3779886731972337,False,False,False,False
58,0.7374604451918155,False,False,False,False
59,0.09576185185983421,False,False,False,False
60,0.664795093623584,False,False,False,False
61,0.3901810284835113,False,False,False,False
62,0.43022652634600356,False,False,False,False
63,0.059362880258923556,False,False,False,False
64,0.7167130081772302,False,False,False,False
65,0.10178598874901745,False,False,False,False
66,0.4820197667062357,False,False,False,False
67,0.1860043703327412,False,False,False,False
68,0.1693002820194507,False,False,False,False
69,0.11444531897113008,False,False,False,False
70,0.5792598871664242,False,False,False,False
71,0.04925411992759399,False,False,False,False
72,0.6666047672211963,False,False,False,False
73,0.790648806600495,False,False,False,False
74,0.14674323320765248,False,False,False,False
75,0.7625900919626407,False,False,False,False
76,0.05338193262717539,False,False,False,False
77,0.3648682259757726,False,False,False,False
78,0.02555976663542936,False,False,False,False
79,0.7431760807261967,False,False,False,False
80,0.5503235056976393,False,False,False,False
81,0.4323354227675579,False,False,False,False
82,0.3739218402932234,False,False,False,False
83,0.049738765521068484,False,False,False,False
84,0.4626000607108083,False,False,False,False
85,0.018231072988983632,False,False,False,False
86,0.4131805729355945,False,False,False,False
87,0.7903145097440284,False,False,False,False
88,0.784080948341408,False,False,False,False
89,0.5840633426960506,False,False,False,False
90,0.9987433700667648,False,False,False,False
91,0.06751848018741502,False,False,False,False
92,0.12916419610239782,False,False,False,False
93,0.10167190290371597,False,False,False,False
94,0.3969400677478341,False,False,False,False
95,0.3170409113172379,False,False,False,False
96,0.968974903241041,False,False,False,False
97,0.2068135275140317,False,False,False,False
98,0.1473346004355438,False,False,False,False
99,0.26729966881059697,False,False,False,False
100,0.8505336791907826,False,False,False,False
101,0.2675326983665324,False,False,False,False
102,0.11022520484582521,False,False,False,False
103,0.4550217605831879,False,False,False,False
104,0.2024052795037623,False,False,False,False
105,0.7630329334713912,False,False,False,False
106,0.9910002480764886,False,False,False,False
107,0.822644656835189,False,False,False,False
108,0.7462732339820062,False,False,False,False
